MINFREQ	DIST	MAE	RMSE	PRECISION	RECALL	F1	N	HIT	PRED	TRUTH
3	3	2.239262953726794	2.442551346343289	0.9693192713326941	0.1406902310047314	0.24571636893911775	14436	2022	2086	14372
3	4	2.789298473530367	3.0487140496091967	0.9814061592097618	0.13749592966460436	0.24119957158157798	24632	3378	3442	24568
3	5	3.2919912923923005	3.611893163884335	0.9865546218487395	0.1347566574839302	0.23712381337103614	34912	4696	4760	34848
3	6	3.624746841546919	3.9985048801874705	0.9886323268206039	0.13440548633246402	0.23663959865651973	41476	5566	5630	41412
3	7	3.831451612903226	4.247390090472638	0.9892001349983125	0.13150574300071788	0.2321492218129975	44640	5862	5926	44576
3	8	3.9294302828909973	4.372674619524331	0.9892436974789915	0.12885853145934587	0.22801580537692728	45742	5886	5950	45678
3	9	3.9677153395530484	4.425777074377454	0.9892436974789915	0.12788423934298004	0.22648914883792517	46090	5886	5950	46026
5	0	0.45054945054945056	1.0377490433255416	1.0	0.532967032967033	0.6953405017921147	364	194	194	364
5	1	0.6407185628742516	0.8811623606285184	0.8571428571428571	0.28870292887029286	0.43192488262910794	1002	276	322	956
5	2	1.628494442573257	1.771276377851936	0.9152119700748129	0.12504258943781943	0.22002398081534777	5938	734	802	5870
5	3	2.338919667590028	2.5047047144067087	0.9487951807228916	0.08767047035903144	0.16050955414012738	14440	1260	1328	14372
5	4	2.9531579801915897	3.1585144721926626	0.9630836047774158	0.07220774991859329	0.13434305187429002	24636	1774	1842	24568
5	5	3.50853476916027	3.7601963567188155	0.9693969396939695	0.06181129476584022	0.11621257081197733	34916	2154	2222	34848
5	6	3.885535197685632	4.180752148189386	0.9712837837837838	0.05553945716217522	0.10507080858839654	41480	2300	2368	41412
5	7	4.106262879670281	4.439894160438963	0.9712837837837838	0.05159727207465901	0.0979890933878664	44644	2300	2368	44576
5	8	4.200061207537271	4.558456066127642	0.9712837837837838	0.050352467270896276	0.09574158098488947	45746	2300	2368	45678
5	9	4.2362997353234695	4.60805529970723	0.9712837837837838	0.049971755094946335	0.09505310575691202	46094	2300	2368	46026
10	0	0.46195652173913043	1.0555237727226274	1.0	0.5271739130434783	0.6903914590747331	368	194	194	368
10	1	0.6679920477137177	0.900629335961931	0.8309859154929577	0.24634655532359082	0.3800322061191626	1006	236	284	958
10	2	1.71524739145069	1.8222972914367324	0.8481012658227848	0.06848381601362862	0.12673392181588902	5942	402	474	5870
10	3	2.4465522016062033	2.5652655018511314	0.8827361563517915	0.03771221820205956	0.07233417856666222	14444	542	614	14372
10	4	3.063798701298701	3.2197896599848654	0.9088607594936708	0.02922500814067079	0.05662907169335121	24640	718	790	24568
10	5	3.620733104238259	3.8214592727980325	0.9194630872483222	0.02358815426997245	0.04599630686587208	34920	822	894	34848
10	6	3.9934914665895285	4.23818953165373	0.9224137931034483	0.020670337100357386	0.04043457723193199	41484	856	928	41412
10	7	4.20654900555456	4.4901842017806	0.9224137931034483	0.01920315865039483	0.03762306610407876	44648	856	928	44576
10	8	4.297923497267759	4.606268003279095	0.9224137931034483	0.018739874775603134	0.036733467793846286	45750	856	928	45678
10	9	4.333420104993709	4.654998335284	0.9224137931034483	0.018598183635336548	0.036461217361673126	46098	856	928	46026
